1,SU-12366,0197132232,2019,7,9,13,43,17,0,984,301,21
1,SU-12366,0197132232,2019,7,9,13,43,17,300,984,301,38
1,SU-12366,0197132232,2019,7,9,13,43,17,600,984,301,01
1,SU-12366,0197132232,2019,7,9,13,43,17,900,987,300,66
1,SU-12366,0197132232,2019,7,9,13,43,17,1200,992,300,17
1,SU-12366,0197132232,2019,7,9,13,43,17,1500,1003,299,82
1,SU-12366,0197132232,2019,7,9,13,43,17,1800,1002,299,57
1,SU-12366,0197132232,2019,7,9,13,43,17,2100,1004,299,52
1,SU-12366,0197132232,2019,7,9,13,43,17,2400,1003,299,31
1,SU-12366,0197132232,2019,7,9,13,43,17,2700,1004,298,49
1,SU-12366,0197132232,2019,7,9,13,43,17,3000,1003,297,93
1,SU-12366,0197132232,2019,7,9,13,43,17,3300,1003,298,01
1,SU-12366,0197132232,2019,7,9,13,43,17,3600,1004,298,11
1,SU-12366,0197132232,2019,7,9,13,43,17,3900,1003,298,10
1,SU-12366,0197132232,2019,7,9,13,43,17,4200,1003,298,05
1,SU-12366,0197132232,2019,7,9,13,43,17,4500,1003,298,06
1,SU-12366,0197132232,2019,7,9,13,43,17,4800,1002,298,03
1,SU-12366,0197132232,2019,7,9,13,43,17,5100,1002,298,01
1,SU-12366,0197132232,2019,7,9,13,43,17,5400,1003,298,00
1,SU-12366,0197132232,2019,7,9,13,43,17,5700,1002,298,00
1,SU-12366,0197132232,2019,7,9,13,43,17,6000,1003,297,96
1,SU-12366,0197132232,2019,7,9,13,43,17,6300,1002,297,94
1,SU-12366,0197132232,2019,7,9,13,43,17,6600,1002,297,95
1,SU-12366,0197132232,2019,7,9,13,43,17,6900,1002,297,93
1,SU-12366,0197132232,2019,7,9,13,43,17,7200,1002,297,89
1,SU-12366,0197132232,2019,7,9,13,43,17,7500,1002,297,87
1,SU-12366,0197132232,2019,7,9,13,43,17,7800,1002,297,84
1,SU-12366,0197132232,2019,7,9,13,43,17,8100,1002,297,81
1,SU-12366,0197132232,2019,7,9,13,43,17,8400,1003,297,75
1,SU-12366,0197132232,2019,7,9,13,43,17,8700,1002,297,67
1,SU-12366,0197132232,2019,7,9,13,43,17,9000,1002,297,58
1,SU-12366,0197132232,2019,7,9,13,43,17,9300,1002,297,50
